,Unnamed: 0,activity_name,description,url,image,available_days,available_times,latitude,longitude,address,price,currency,category,week,destination,hours_min,hours_max
10,10,Entrada al Castillo de Sant’Angelo con audioguía,Con esta entrada al Castillo de Sant’Angelo conoceréis su historia con una audioguía y podréis visitar por libre uno de los monumentos más enigmáticos de Roma.,www.civitatis.com/es/roma/entrada-castillo-sant-angelo-audioguia/,www.civitatis.com/f/italia/roma/entrada-castillo-sant-angelo-audioguia-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",41.90308,12.4661811,"Museo Nazionale di Castel Sant’Angelo, 50, Lungotevere Castello, Borgo, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",4.2,EUR,Entradas,1,roma,,
11,11,Concierto de ópera en la iglesia de San Pablo Intramuros,"La iglesia de San Pablo Intramuros os abre sus puertas para ofreceros el espectáculo de Los tres tenores, un concierto de ópera en un espacio único de Roma.",www.civitatis.com/es/roma/concierto-opera-san-pablo-intramuros/,www.civitatis.com/f/italia/roma/concierto-opera-san-pablo-intramuros-list.jpg,['06'],[['20:30']],41.9010173,12.4941144,"San Paolo dentro le Mura, 58, Via Napoli, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",5.0,EUR,Espectáculos,1,roma,1.5,1.5
12,12,Tour de la Fontana de Trevi y sus subterráneos,En este tour de la Fontana de Trevi y sus subterráneos os desvelaremos los tesoros ocultos y la historia de la fuente más famosa de Roma. ¡Os encantará!,www.civitatis.com/es/roma/tour-fontana-trevi-subterraneos/,www.civitatis.com/f/italia/roma/tour-fontana-trevi-subterraneos-list.jpg,"['08', '06', '05', '07']","[['11:00', '15:30', '16:30'], ['11:00', '16:30'], ['11:00', '13:30', '16:30'], ['11:00', '11:30', '16:30']]",41.9008251,12.4836577,"Pizza in Trevi, 30, Piazza di Trevi, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",8.75,EUR,Español,1,roma,0.6666666666666666,0.6666666666666666
13,13,Visita guiada por las termas de Caracalla y el Circo Máximo,En este tour por las termas de Caracalla y el Circo Máximo reviviremos el esplendor de la Ciudad Eterna visitando los baños públicos de la Roma imperial.,www.civitatis.com/es/roma/visita-guiada-termas-caracalla/,www.civitatis.com/f/italia/roma/visita-guiada-termas-caracalla-list.jpg,"['09', '07']","[['10:00'], ['10:00']]",41.883678,12.487478,"Via del Circo Massimo, Ripa, Municipio Roma I, Roma, Roma Capitale, Lazio, 00153, Italia",17.55,EUR,Español,1,roma,3.0,3.0
14,14,Tour privado en tuk tuk por Roma,¿Queréis ver la Ciudad Eterna de una forma cómoda? En este tour privado en tuk tuk por Roma recorremos la capital de Italia en un grupo en exclusiva.,www.civitatis.com/es/roma/tour-privado-tuk-tuk-roma/,www.civitatis.com/f/italia/roma/tour-privado-tuk-tuk-roma-list.jpg,"['09', '08', '07', '10', '05', '06']","[['9:00', '13:00', '17:00'], ['9:00', '13:00', '17:00'], ['9:00', '13:00', '17:00'], ['9:00', '13:00', '17:00'], ['9:00', '13:00', '17:00'], ['9:00', '13:00', '17:00']]",41.890099,12.494346,"Antica DOMUS, 6, Via di San Giovanni in Laterano, Celio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",80.0,EUR,Español,1,roma,3.0,3.0
15,15,Pub Crawl ¡Tour de fiesta por Roma!,¿Listos para experimentar la vibrante vida nocturna de la capital italiana? Acompañadnos en este Pub Crawl por Roma y preparaos para una noche inolvidable.,www.civitatis.com/es/roma/pub-crawl-roma/,www.civitatis.com/f/italia/roma/pub-crawl-roma-list.jpg,"['05', '08', '09', '07']","[['21:30'], ['21:30'], ['21:30'], ['21:30']]",41.9032808,12.4763589,"Vicolo di San Biagio, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",5.5,EUR,Español,1,roma,4.0,4.0
16,16,Excursión a Ostia Antica,"Descubre el legado imperial en el yacimiento de Ostia Antica, una antigua y gloriosa ciudad portuaria romana a 30 kilómetros de la capital italiana.",www.civitatis.com/es/roma/excursion-ostia-antica/,www.civitatis.com/f/italia/roma/excursion-ostia-antica-list.jpg,"['06', '09', '08']","[['9:30'], ['9:30'], ['9:30']]",41.875938,12.482057,"Piazzale Ostiense, Municipio Roma I, Roma, Roma Capitale, Lazio, 00154, Italia",14.0,EUR,Español,1,roma,3.0,3.0
17,17,Tour por los subterráneos de la Via Appia y Caffarella,Explorad las entrañas de Roma en este tour por los subterráneos de la Via Appia y Caffarella. Descubriremos una de las zonas menos turísticas de la capital.,www.civitatis.com/es/roma/tour-subterraneos-via-appia-caffarella/,www.civitatis.com/f/italia/roma/tour-subterraneos-via-appia-caffarella-list.jpg,"['05', '07', '06', '09', '10', '08']","[['17:00'], ['17:00'], ['17:00'], ['17:00'], ['17:00'], ['17:00']]",41.869903035602455,12.529650562721985,"17, Largo dei Colli Albani, Municipio Roma VII, Roma, Roma Capitale, Lazio, 00179, Italia",23.75,EUR,Español,1,roma,2.0,2.0
18,18,Free tour por las iglesias barrocas,"Recorre con este free tour las iglesias barrocas más importantes de Roma. Además, conocerás la historia de artistas como Caravaggio, Rafael o Borromini.",www.civitatis.com/es/roma/free-tour-iglesias-barrocas/,www.civitatis.com/f/italia/roma/free-tour-iglesias-barrocas-list.jpg,"['05', '08']","[['10:00'], ['10:00']]",41.900498,12.4741377,"Biblioteca Angelica, 8, Piazza di Sant'Agostino, Sant'Eustachio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",2.5,EUR,Español,1,roma,2.0,2.0
19,19,Excursión a Florencia y Pisa con subida a la Torre Inclinada,"En esta excursión en tren de alta velocidad desde Roma podréis visitar Florencia y Pisa en un mismo día. Además, incluye la entrada a la Torre Inclinada.",www.civitatis.com/es/roma/excursion-florencia-pisa-torre-inclinada/,www.civitatis.com/f/italia/roma/excursion-florencia-pisa-torre-inclinada-list.jpg,"['06', '09']","[['6:00'], ['6:00']]",41.90185535610004,12.4997830764751,"Termini (MA-MB-FS), Piazza dei Cinquecento, Esquilino, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",39.79,EUR,Excursiones de un día,1,roma,12.0,12.0
20,20,Taller de pizza italiana,Visitar Roma y disfrutar de su gastronomía es un placer. Pero más aún si aprendemos todos sus secretos. ¡No os perdáis este taller de pizza italiana!,www.civitatis.com/es/roma/taller-pizza-italiana/,www.civitatis.com/f/italia/roma/taller-pizza-italiana-list.jpg,"['07', '08', '05', '09', '06', '10']","[['15:00', '17:00', '19:00'], ['15:00', '17:00', '19:00'], ['15:00', '17:00', '19:00'], ['15:00', '17:00', '19:00'], ['15:00', '17:00', '19:00'], ['15:00', '17:00', '19:00']]",41.90079267534686,12.4727122882138,"Gusto, Via di Sant'Apollinare, Ponte, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",11.8,EUR,Inglés,1,roma,2.0,2.0
21,21,Entradas para Welcome to Rome,En Welcome to Rome descubriréis la historia de Roma de una manera diferente. Veréis reconstrucciones en 3D de los monumentos emblemáticos de la Ciudad Eterna.,www.civitatis.com/es/roma/entradas-wecome-rome/,www.civitatis.com/f/italia/roma/entradas-wecome-rome-list.jpg,"['06', '05', '10', '09', '08', '07']","[[], [], [], [], [], []]",41.8973585,12.4688991,"La Locanda del Pellegrino, 107, Via del Pellegrino, Regola, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",5.04,EUR,Español y otros idiomas,1,roma,1.0,1.0
22,22,Concierto de ópera en el Palacio Santa Chiara,"Si quieres vivir una experiencia única durante tu paso por Roma, entra en el Palacio Santa Chiara, donde disfrutarás de un concierto de ópera.",www.civitatis.com/es/roma/concierto-opera-palacio-santa-chiara/,www.civitatis.com/f/italia/roma/concierto-opera-palacio-santa-chiara-list.jpg,"['06', '09', '08', '10']","[['19:30'], ['19:30'], ['19:30'], ['19:30']]",41.8976896,12.4766502,"Luogo della morte di Santa Caterina da Siena, 14, Via di Santa Chiara, Pigna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",10.0,EUR,Espectáculos,1,roma,1.0,1.0
23,23,Tour por Roma para familias,¿Viajáis a la capital italiana con niños? Este tour por Roma para familias es la mejor manera de visitar la Ciudad Eterna junto a los más pequeños de la casa.,www.civitatis.com/es/roma/tour-roma-familias/,www.civitatis.com/f/italia/roma/tour-roma-familias-list.jpg,"['08', '05', '10']","[['15:30'], ['15:30'], ['15:30']]",41.89845,12.4725788,"Chiesa di Sant'Agnese in Agone, Via di Santa Maria dell'Anima, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",9.0,EUR,Español,1,roma,3.0,3.0
24,24,La Traviata con ballet en la iglesia de San Pablo Intramuros,Ballet y buena música te esperan en el espectáculo La traviata de la iglesia de San Pablo Intramuros. Disfruta una de las óperas más famosas del mundo.,www.civitatis.com/es/roma/traviata-ballet-san-pablo-intramuros/,www.civitatis.com/f/italia/roma/traviata-ballet-san-pablo-intramuros-list.jpg,['05'],[['20:30']],41.9010173,12.4941144,"San Paolo dentro le Mura, 58, Via Napoli, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",5.0,EUR,Espectáculos,1,roma,2.0,2.0
25,25,Tour en bicicleta por Roma,"Recorred con este tour en bicicleta eléctrica por Roma el centro histórico de la Ciudad Eterna, Villa Borghese o la Via Appia Antica. ¡Una ruta imprescindible!",www.civitatis.com/es/roma/tour-bicicleta-roma/,www.civitatis.com/f/italia/roma/tour-bicicleta-roma-list.jpg,"['06', '05', '09', '10', '08', '07']","[['9:00', '9:30', '10:00', '15:00'], ['9:00', '9:30', '10:00', '15:00'], ['9:00', '9:30', '10:00', '15:00'], ['9:00', '9:30', '10:00', '15:00'], ['9:00', '9:30', '10:00', '15:00'], ['9:00', '9:30', '10:00', '15:00']]",41.916237,12.469663,"Enoteca La Torre, 22, Lungotevere delle Armi, Della Vittoria, Roma, Roma Capitale, Lazio, 00195, Italia",16.75,EUR,Español,1,roma,722.0,4.0
26,26,Sesión fotográfica privada en el exterior del Coliseo,¿Queréis llevaros un recuerdo único de Roma? En esta sesión fotográfica privada en el exterior del Coliseo captaremos vuestras mejores poses junto al monumento.,www.civitatis.com/es/roma/sesion-fotografica-privada-coliseo/,www.civitatis.com/f/italia/roma/sesion-fotografica-privada-coliseo-list.jpg,"['06', '07', '05', '10', '08', '09']","[[], [], [], [], [], []]",41.89153406666244,12.49108276004682,"Squisito Cook, 1, Largo Gaetana Agnesi, Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",11.25,EUR,Inglés,1,roma,360.0,0.75
27,27,Entrada a Mostra di Leonardo,"Con vuestra entrada a la Mostra di Leonardo descubriréis algunos de los inventos más sorprendentes del genio florentino. Además, ¡os saltaréis las colas!",www.civitatis.com/es/roma/entrada-mostra-di-leonardo/,www.civitatis.com/f/italia/roma/entrada-mostra-di-leonardo-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",41.89654858602322,12.47162927330942,"Palazzo della Cancelleria, Via del Pellegrino, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",2.43,EUR,,1,roma,,
28,28,Tour en tuk tuk por Roma,En este tour en tuk tuk por Roma visitaremos la ciudad eterna de la forma más cómoda. Exploraremos sus siete colinas y descubriremos numerosas curiosidades.,www.civitatis.com/es/roma/tour-tuk-tuk-roma/,www.civitatis.com/f/italia/roma/tour-tuk-tuk-roma-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",0.0,0.0,,30.0,EUR,Español,1,roma,3.0,3.0
29,29,Entrada al Panteón de Agripa sin colas + Autobús turístico de Roma,"¿Tenéis solo un día en Roma? Recorred sus monumentos principales a bordo del autobús turístico y entrad al Panteón de Agripa, uno de los iconos de la capital.",www.civitatis.com/es/roma/autobus-turistico-entrada-panteon-agripa/,www.civitatis.com/f/italia/roma/autobus-turistico-entrada-panteon-agripa-list.jpg,"['08', '05', '10', '07', '09', '06']","[['10:30', '11:30', '12:30', '13:30', '14:30', '15:30'], ['10:30', '11:30', '12:30', '13:30', '14:30', '15:30'], ['10:30', '11:30', '12:30', '13:30', '14:30', '15:30'], ['10:30', '11:30', '12:30', '13:30', '14:30', '15:30'], ['10:30', '11:30', '12:30', '13:30', '14:30', '15:30'], ['10:30', '11:30', '12:30', '13:30', '14:30', '15:30']]",0.0,0.0,,10.5,EUR,Español,1,roma,24.0,24.0
30,30,Visita guiada por las catacumbas de San Sebastián,En esta visita guiada por las catacumbas de San Sebastián nos adentraremos en el subsuelo de la Ciudad Eterna para descubrir uno de sus tesoros ocultos.,www.civitatis.com/es/roma/tour-catacumbas-san-sebastian/,www.civitatis.com/f/italia/roma/tour-catacumbas-san-sebastian-list.jpg,"['09', '08', '06']","[['10:30'], ['10:30'], ['10:30']]",41.84990964071869,12.52331148838448,"Appia Antica Caffè, 175, Via Appia Antica, Municipio Roma VIII, Roma, Roma Capitale, Lazio, 00179, Italia",7.8,EUR,Español,1,roma,2.0,2.0
31,31,Entrada a IKONO Roma,¿Buscáis planes diferentes en la capital italiana? Con vuestra entrada a IKONO Roma descubriréis las curiosas propuestas creativas de este espacio inmersivo.,www.civitatis.com/es/roma/entrada-ikono-roma/,www.civitatis.com/f/italia/roma/entrada-ikono-roma-list.jpg,"['05', '10', '07', '09', '06', '08']","[[], [], [], [], [], []]",41.89912989,12.47801971,"Dakota, 111, Via del Seminario, Colonna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",3.6,EUR,Entradas,1,roma,1.0,1.0
32,32,"Juego de pistas en Roma: Ángeles y Demonios, la caza de los Illuminati","En este juego de pistas en Roma: Ángeles y Demonios, la caza de los Illuminati, podréis emular a Robert Langdon. ¡Una forma única de visitar la Ciudad Eterna!",www.civitatis.com/es/roma/juego-pistas-roma-angeles-demonios/,www.civitatis.com/f/italia/roma/juego-pistas-roma-angeles-demonios-list.jpg,"['10', '07', '09', '06', '08', '05']","[['0:00'], ['0:00'], ['0:00'], ['0:00'], ['0:00'], ['0:00']]",41.903191,12.496932,"Basilica di Santa Maria degli Angeli e dei Martiri, Via Cernaia, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",3.6,EUR,Español,1,roma,481.0,1.8333333333333333
33,33,Tour en kayak por el lago Albano,"Si estáis en Roma y queréis escapar del bullicio de la gran ciudad, acompañadnos en este tour en kayak por el lago Albano. ¡Os enamoraréis de sus paisajes!",www.civitatis.com/es/roma/tour-kayak-lago-albano/,www.civitatis.com/f/italia/roma/tour-kayak-lago-albano-list.jpg,"['09', '07', '10', '05', '08', '06']","[['10:30'], ['10:30'], ['10:30'], ['10:30'], ['10:30'], ['10:30']]",41.84263929,12.58637532,"Cinecittà, Torre Maura, Osteria del Curato, Roma, Roma Capitale, Lazio, Italia",10.0,EUR,Español,1,roma,2.5,2.5
34,34,Cripta de los Capuchinos y Santa María de la Victoria,"Visita una de las estatuas más famosas de la historia: el Éxtasis de Santa Teresa. Además, también entrarás en la cripta de los Capuchinos.",www.civitatis.com/es/roma/cripta-capuchinos-santa-maria-victoria/,www.civitatis.com/f/italia/roma/cripta-capuchinos-santa-maria-victoria-list.jpg,['09'],[['15:00']],41.903005,12.496709,"Basilica di Santa Maria degli Angeli e dei Martiri, Via Cernaia, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",8.4,EUR,Español,1,roma,2.0,2.0
35,35,Go City: Roma Explorer Pass,"La tarjeta turística Go City: Roma Explorer Pass ofrece acceso a las grandes atracciones de la capital italiana, como la Capilla Sixtina, el Coliseo o el Foro.",www.civitatis.com/es/roma/roma-explorer-pass/,www.civitatis.com/f/italia/roma/roma-explorer-pass-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",0.0,0.0,,18.48,EUR,Entradas,1,roma,1440.0,1440.0
36,36,Tour por las catacumbas de San Sebastián + Autobús desde Roma Termini,"Descubrid uno de los tesoros ocultos del Antiguo Imperio romano en este tour por las catacumbas de San Sebastián. Además, incluye transporte desde Roma Termini.",www.civitatis.com/es/roma/catacumbas-san-sebastian-autobus/,www.civitatis.com/f/italia/roma/catacumbas-san-sebastian-autobus-list.jpg,"['09', '07', '06', '05', '10', '08']","[['9:35', '11:05', '12:35'], ['9:35', '11:05', '12:35'], ['9:35', '11:05', '12:35'], ['9:35', '11:05', '12:35'], ['9:35', '11:05', '12:35'], ['9:35', '11:05', '12:35']]",41.8992480141678,12.50233619694748,"123, Via Giovanni Giolitti, Esquilino, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",11.25,EUR,Español,1,roma,1.5,1.5
37,37,Autobús entre el aeropuerto Ciampino y Roma,Con este autobús entre el aeropuerto de Ciampino y Roma estaréis en el centro de la capital italiana en menos de una hora. ¡La Ciudad Eterna os espera!,www.civitatis.com/es/roma/autobus-aeropuerto-ciampino-roma/,www.civitatis.com/f/italia/roma/autobus-aeropuerto-ciampino-roma-list.jpg,"['09', '07', '10', '06', '05', '08']","[['5:30', '7:30', '9:20', '10:30', '13:00', '14:35', '15:30', '16:30'], ['5:30', '7:30', '9:20', '10:30', '13:00', '14:35', '15:30', '16:30'], ['5:30', '7:30', '9:20', '10:30', '13:00', '14:35', '15:30', '16:30'], ['5:30', '7:30', '9:20', '10:30', '13:00', '14:35', '15:30', '16:30'], ['5:30', '7:30', '9:20', '10:30', '13:00', '14:35', '15:30', '16:30'], ['5:30', '7:30', '9:20', '10:30', '13:00', '14:35', '15:30', '16:30']]",0.0,0.0,,1.5,EUR,Transporte y traslados,1,roma,840.0,0.75
38,38,"Tour por el Gianicolo, Trastévere y barrio judío","En este tour por el Gianicolo, Trastévere y barrio judío disfrutaremos de un recorrido diferente por Roma que seguro que os sorprende. ¡No os lo podéis perder!",www.civitatis.com/es/roma/tour-gianicolo/,www.civitatis.com/f/italia/roma/tour-gianicolo-list.jpg,"['08', '05']","[['15:00'], ['15:00']]",41.9024589,12.4599889,"Ambasciata di Croazia presso la Santa Sede, 44, Via della Conciliazione, Borgo, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",14.85,EUR,Español,1,roma,3.0,3.0
39,39,Tour de la arquitectura fascista de Roma,Adéntrate en el barrio de EUR en este tour de la arquitectura fascista de Roma. Descubrirás los edificios ideados por Mussolini durante la dictadura.,www.civitatis.com/es/roma/tour-arquitectura-fascista-roma/,www.civitatis.com/f/italia/roma/tour-arquitectura-fascista-roma-list.jpg,"['05', '06', '09']","[['9:30'], ['9:30'], ['9:30']]",41.8836648,12.487498,"Circo Massimo, Via del Circo Massimo, Ripa, Municipio Roma I, Roma, Roma Capitale, Lazio, 00153, Italia",17.55,EUR,Español,1,roma,3.0,3.0
40,40,Entrada al Bioparco de Roma,"Con vuestra entrada al Bioparco de Roma descubriréis este zoo ubicado en pleno corazón de la ciudad, dentro de Villa Borghese. ¡Un plan ideal para familias!",www.civitatis.com/es/roma/entrada-bioparco-roma/,www.civitatis.com/f/italia/roma/entrada-bioparco-roma-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",41.9169754,12.4876807,"Bioparco, Viale dei Daini, Pinciano, Municipio Roma II, Roma, Roma Capitale, Lazio, 00198, Italia",2.34,EUR,,1,roma,,
41,41,"Pompeya, Sorrento y Capri en 2 o 3 días","En esta excursión desde Roma descubriremos Pompeya, Sorrento y Capri en 2 o 3 días, disfrutando de su excelso patrimonio y sus hermosos paisajes naturales.",www.civitatis.com/es/roma/tour-napoles-pompeya-sorrento-capri/,www.civitatis.com/f/italia/roma/tour-napoles-pompeya-sorrento-capri-list.jpg,"['08', '10', '06', '09', '05', '07']","[['7:30'], ['7:30'], ['7:30'], ['7:30'], ['7:30'], ['7:30']]",0.0,0.0,,119.0,EUR,Español,1,roma,48.0,72.0
42,42,Tour en vehículo privado con chófer,"La basílica de Santa María, San Pedro o el mirador Gianicolo son algunos de los lugares que verás en Roma. Descubre la ciudad del amor en exclusiva.",www.civitatis.com/es/roma/tour-privado-chofer/,www.civitatis.com/f/italia/roma/tour-privado-chofer-list.jpg,"['09', '10']","[['11:00'], ['11:00']]",0.0,0.0,,56.25,EUR,Español,1,roma,72.0,6.0
43,43,Hard Rock Cafe Roma sin colas,"Si estáis buscando lugares para comer en Roma, no lo penséis y acercaos al Hard Rock Cafe. Disfrutaréis de un exquisito menú en un emblemático local.",www.civitatis.com/es/roma/hard-rock-cafe-roma/,www.civitatis.com/f/italia/roma/hard-rock-cafe-roma-list.jpg,"['07', '10', '06', '08', '05', '09']","[[], [], [], [], [], []]",41.9063951,12.4897479,"La terrasse Cuisine, Via Vittorio Veneto, Ludovisi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",5.0,EUR,,1,roma,,
44,44,Tour por las Catacumbas de Priscila,Descubre el origen de uno de los cementerios romanos más antiguos de la Ciudad Eterna con esta visita guiada por las catacumbas de Priscila. ¿Te vienes?,www.civitatis.com/es/roma/tour-catacumbas-priscila/,www.civitatis.com/f/italia/roma/tour-catacumbas-priscila-list.jpg,['10'],[['10:00']],41.9017728,12.4992756,"Termini (MA-MB-FS), Piazza dei Cinquecento, Esquilino, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",7.0,EUR,Español,1,roma,2.0,2.0
