,activity_name,description,url,image,image2,available_days,available_times,duration,latitude,longitude,address,price,currency,category
10,Autobús entre el aeropuerto de Beauvais y París,"Si estáis buscando cómo llegar a París desde el aeropuerto de Beauvais, este traslado en autobús es la opción ideal para viajar entre la terminal y la ciudad.",www.civitatis.com/es/paris/autobus-aeropuerto-beauvais-paris/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/autobus-aeropuerto-beauvais-paris-list.jpg,"['10', '11', '12', '09']","[[], [], [], []]",1h 30m,0.0,0.0,,1.18,EUR,Transporte y traslados
11,Excursión a Bruselas y Brujas,¿Queréis disfrutar de las maravillas de Bélgica? En esta excursión a Bruselas y Brujas visitaremos la hermosa capital del país y la llamada Venecia del norte.,www.civitatis.com/es/paris/excursion-bruselas-brujas/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/excursion-bruselas-brujas-list.jpg,"['10', '09']","[['7:00'], ['7:00']]",16 horas,48.8631192,2.4156324,"Rue du Château, Centre Sud, Bagnolet, Bobigny, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93170, France",49.75,EUR,Español
12,Free tour por los alrededores de la Torre Eiffel y el Arco del Triunfo,¿Estáis en París y no conocéis la Torre Eiffel y el Arco del Triunfo? En este free tour pasearemos por sus alrededores y por los elegantes Campos Elíseos.,www.civitatis.com/es/paris/free-tour-torre-eiffel/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/free-tour-torre-eiffel-list.jpg,"['12', '10', '09', '11']","[['11:00', '15:30'], ['11:00', '15:30'], ['11:00', '15:30'], ['11:00', '15:30']]",2h -2h 30m,48.87335265557924,2.2974675005458094,"Quartier du Faubourg-du-Roule, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",3.0,EUR,Español
13,Entradas para el Cabaret Paradis Latin,Reservando estas entradas para el Paradis Latin disfrutaréis de un inolvidable espectáculo en uno de los cabarets más famosos de París. ¡No os lo podéis perder!,www.civitatis.com/es/paris/cabaret-paradis-latin/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/cabaret-paradis-latin-list.jpg,"['11', '10']","[['19:30', '21:00'], ['19:30', '21:00']]",3 horas,48.847991,2.352856,"Christian Gilles, Rue du Cardinal Lemoine, Quartier Saint-Victor, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France",20.0,EUR,Espectáculos
14,Entrada a la Torre Montparnasse,Con esta entrada a la Torre Montparnasse podréis disfrutar de una vista de 360 grados de París. ¡Contemplaréis la capital francesa desde 200 metros de altitud!,www.civitatis.com/es/paris/entrada-torre-montparnasse/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-torre-montparnasse-list.jpg,"['10', '12', '09', '11']","[[], [], [], []]",Entradas,48.842151,2.3197951,"Pacifica, 8, Boulevard de Vaugirard, Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France",4.0,EUR,
15,Crucero por el Sena desde la Torre Eiffel con comida,En este crucero por el Sena saliendo desde la Torre Eiffel veréis París desde una perspectiva única y disfrutaréis de la exquisita gastronomía francesa.,www.civitatis.com/es/paris/crucero-sena-torre-eiffel-comida/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/crucero-sena-torre-eiffel-comida-list.jpg,"['11', '10', '09', '12']","[['12:45'], ['12:45'], ['12:45'], ['12:45']]",2 horas,48.860385,2.293544,"Bateaux Parisiens, Port de la Bourdonnais, Quartier du Gros-Caillou, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",15.0,EUR,Paseos en barco
16,Entrada al Museo de Orsay,Comprando la entrada al Museo de Orsay tendréis la oportunidad de ver algunas de las pinturas impresionistas más famosas del mundo. ¡Un plan perfecto en París!,www.civitatis.com/es/paris/entrada-museo-orsay/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-museo-orsay-list.jpg,"['09', '10', '12']","[[], [], []]",Entradas,48.85990493,2.326518467,"Musée d'Orsay, 1, Rue de la Légion d'Honneur, Quartier Saint-Thomas-d'Aquin, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",0.5,EUR,
17,Entrada al Museo de l'Armée,"Con esta entrada al Museo de l'Armée, el Museo del Ejército, visitaréis el gran complejo del Hôtel National des Invalides, que alberga la tumba de Napoléon I.",www.civitatis.com/es/paris/entrada-museo-armee/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-museo-armee-list.jpg,"['11', '12', '10', '09']","[[], [], [], []]",Entradas,48.858032,2.312858,"Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",5.5,EUR,
18,Barco turístico de París Batobus,"Navegando por el río Sena en el Batobus, el barco turístico de París, podréis subir y bajar tantas veces como queráis durante 24 o 48 horas. ¡Imprescindible!",www.civitatis.com/es/paris/barco-turistico-paris/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/barco-turistico-paris-list.jpg,"['11', '09', '12', '10']","[['10:00'], ['10:00'], ['10:00'], ['10:00']]",1 -2d,0.0,0.0,,4.59,EUR,Paseos en barco
19,Sesión fotográfica privada en el exterior de la Torre Eiffel,"Si queréis llevaros un recuerdo único de París, esta sesión fotográfica privada en el exterior de la Torre Eiffel es perfecta. ¡Captaremos las mejores poses!",www.civitatis.com/es/paris/sesion-fotografica-privada-torre-eiffel/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/sesion-fotografica-privada-torre-eiffel-list.jpg,"['12', '10', '11', '09']","[[], [], [], []]",15 -45m,48.8552081,2.2848093,"Voie Georges Pompidou, Quartier de la Muette, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France",17.0,EUR,Inglés
20,Barco turístico de París Batobus,"Navegando por el río Sena en el Batobus, el barco turístico de París, podréis subir y bajar tantas veces como queráis durante 24 o 48 horas. ¡Imprescindible!",www.civitatis.com/es/paris/barco-turistico-paris/,www.civitatis.com/f/francia/paris/barco-turistico-paris-list.jpg,,[],[],1 -  2d,0.0,0.0,,4.59,EUR,Paseos en barco
21,Excursión a la Casa de Monet en Giverny,En esta excursión a Giverny desde París visitaremos este pintoresco pueblo para conocer la Casa-Museo de Claude Monet. ¡Todo un genio del impresionismo!,www.civitatis.com/es/paris/excursion-giverny/,www.civitatis.com/f/francia/paris/excursion-giverny-list.jpg,,[],[],5 horas,48.857951,2.299934,"Le Champ de Mars, Avenue de la Bourdonnais, Quartier du Gros-Caillou, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",16.8,EUR,Español
22,Sesión fotográfica privada en el exterior de la Torre Eiffel,"Si queréis llevaros un recuerdo único de París, esta sesión fotográfica privada en el exterior de la Torre Eiffel es perfecta. ¡Captaremos las mejores poses!",www.civitatis.com/es/paris/sesion-fotografica-privada-torre-eiffel/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/sesion-fotografica-privada-torre-eiffel-list.jpg,[],[],15 -  45m,48.8552081,2.2848093,"Voie Georges Pompidou, Quartier de la Muette, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France",17.0,EUR,Inglés
23,"Comida en Madame Brasserie, el restaurante de la Torre Eiffel",Con una comida en Madame Brasserie disfrutaréis de un exquisito menú en el restaurante de la primera planta de la Torre Eiffel. ¡Tendréis París a vuestros pies!,www.civitatis.com/es/paris/comida-restaurante-torre-eiffel/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/comida-restaurante-torre-eiffel-list.jpg,[],[],1h 15m -  2h,48.858537,2.293964,"Tour Eiffel, Quai Jacques Chirac, Quartier du Gros-Caillou, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",5.91,EUR,Gastronomía y enoturismo
24,Cena con espectáculo de ópera en Bel Canto,¿Buscando planes diferentes en París? En esta cena con espectáculo de ópera en Bel Canto os deleitaréis con un rico menú mientras disfrutáis de arias de ópera.,www.civitatis.com/es/paris/cena-espectaculo-opera-bel-canto/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/cena-espectaculo-opera-bel-canto-list.jpg,[],[],4 horas,48.854685,2.354327,"74, Quai de l'Hôtel de Ville, Quartier Saint-Gervais, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France",19.6,EUR,Gastronomía y enoturismo
25,Visita guiada por el Museo de Orsay,En esta visita guiada por el Museo de Orsay veremos la mayor colección mundial de cuadros impresionistas. ¡Todo un paraíso para los amantes del arte!,www.civitatis.com/es/paris/visita-guiada-museo-orsay/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/visita-guiada-museo-orsay-list.jpg,[],[],2 horas,48.860507,2.325447,"Esplanade Valéry Giscard d'Estaing, Quartier Saint-Thomas-d'Aquin, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",20.25,EUR,Español
26,Entrada para el Centro Pompidou,"Con esta entrada os adentraréis en la vanguardista arquitectura del Centro Pompidou, uno de los museos de arte moderno y contemporáneo más destacados de París.",www.civitatis.com/es/paris/entrada-centro-pompidou/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-centro-pompidou-list.jpg,[],[],Entradas,48.86079,2.351805,"Place Georges Pompidou, Quartier Saint-Merri, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France",3.1,EUR,
27,Free tour por Le Marais y la Bastilla,"¿Conocéis el París medieval y la Bastilla? Para descubrirlo, podéis hacer este free tour por Le Marais, uno de los barrios más pintorescos de la capital gala.",www.civitatis.com/es/paris/free-tour-marais-bastilla/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/free-tour-marais-bastilla-list.jpg,[],[],2 horas,48.8545738481987,2.355386820897678,"60, Rue de l'Hôtel de Ville, Quartier Saint-Gervais, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France",2.0,EUR,Español
28,Autobús entre los aeropuertos de Orly o Charles de Gaulle y Disneyland® París,Este servicio de traslado en autobús os permitirá desplazaros cómodamente entre el aeropuerto de Orly o de Charles de Gaulle y los parques de Disneyland® París.,www.civitatis.com/es/paris/autobus-aeropuerto-disneyland/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/autobus-aeropuerto-disneyland-list.jpg,[],[],1 hora,0.0,0.0,,3.12,EUR,Transporte y traslados
29,Tour por el exterior de la catedral de Notre Dame + Entrada a la cripta,"En este tour por el exterior de la catedral de Notre Dame, conoceréis la historia de uno de los monumentos más importantes de París. ¡Imprescindible!",www.civitatis.com/es/paris/tour-notre-dame-cripta/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-notre-dame-cripta-list.jpg,[],[],2 horas,48.8533421443481,2.34827821344821,"Parvis Notre-Dame - Place Jean-Paul II, Quartier Les Îles, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France",11.5,EUR,Español
30,Paseo en barco con comida,"Si buscáis la forma ideal de aprovechar el día en París, este paseo en barco por el Sena con comida es ideal. Disfrutaréis a bordo de un menú de 3 platos.",www.civitatis.com/es/paris/paseo-barco-comida/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/paseo-barco-comida-list.jpg,[],[],1h 30m,48.860775,2.326453,"Musée d'Orsay, Promenade Édouard Glissant, Quartier Saint-Thomas-d'Aquin, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",17.0,EUR,Paseos en barco
31,Tour por el Estadio de Francia,"Con este tour por el Estadio de Francia conoceremos todos los rincones de este icono de París situado en Saint-Denis, en la periferia de la ciudad.",www.civitatis.com/es/paris/tour-estadio-francia/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-estadio-francia-list.jpg,[],[],1h 30m,48.925539,2.362054,"Franc-Moisin - Bel-Air - Stade de France, Saint-Denis, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93200, France",4.0,EUR,Inglés
32,Autobús gastronómico de París,"Recorred el centro de París a bordo del Bustronome, un lujoso autobús gastronómico en el que podrás disfrutar de una deliciosa comida o cena francesa.",www.civitatis.com/es/paris/autobus-gastronomico-paris/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/autobus-gastronomico-paris-list.jpg,[],[],2 -  3h,48.872713,2.294035,"Chaillot, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75116, France",10.5,EUR,Gastronomía y enoturismo
33,Entrada al cabaret Crazy Horse,Con esta entrada al Crazy Horse disfrutaréis de un inolvidable espectáculo en uno de los cabarets más famosos y glamurosos de París. ¡Os sorprenderá!,www.civitatis.com/es/paris/entrada-cabaret-crazy-horse/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-cabaret-crazy-horse-list.jpg,[],[],1h 30m,48.865894,2.301568,"Parc de stationnement Alma George V, Avenue George V, Quartier des Champs-Élysées, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",23.8,EUR,Espectáculos
34,Excursión a las playas del Desembarco de Normandía,"Descubrid los escenarios de la Segunda Guerra Mundial donde tuvo lugar el Desembarco de Normandía, una jornada histórica en el desarrollo de la contienda.",www.civitatis.com/es/paris/excursion-playas-desembarco-normandia/,www.civitatis.com/f/francia/paris/excursion-playas-desembarco-normandia-list.jpg,,[],[],14 horas,48.8558546,2.292827,"30, Rue Jean Rey, Quartier de Grenelle, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France",37.0,EUR,Inglés
35,Free tour de Emily en París,"En este free tour de Emily en París veremos los escenarios de rodaje de esta popular serie de Netflix, como el restaurante de Gabriel o las oficinas de Savoir.",www.civitatis.com/es/paris/free-tour-emily-paris/,www.civitatis.com/f/francia/paris/free-tour-emily-paris-list.jpg,,[],[],2h 30m,48.8467396,2.3448845,"Université Paris II Panthéon-Assas, 12, Place du Panthéon, Quartier de la Sorbonne, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France",2.0,EUR,Español
36,Concierto de música clásica en la Madeleine,"En esta actividad disfrutaréis de un concierto de música clásica en la iglesia de la Madeleine, uno de los templos neoclásicos más famosos del centro de París.",www.civitatis.com/es/paris/concierto-musica-clasica-iglesia-paris/,www.civitatis.com/f/francia/paris/concierto-musica-clasica-iglesia-paris-list.jpg,,[],[],1h 20m,48.869462,2.324014,"Foyer de la Madeleine, Place de la Madeleine, Quartier de la Madeleine, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",6.0,EUR,Espectáculos
37,Entrada a los apartamentos del Intendente del Hôtel de la Marine,Con esta entrada al Hôtel de la Marine visitaréis un emblemático palacio del siglo XVIII situado en la céntrica plaza de la Concordia de París. ¡Os sorprenderá!,www.civitatis.com/es/paris/entrada-hotel-marine/,www.civitatis.com/f/francia/paris/entrada-hotel-marine-list.jpg,,[],[],1h 15m,48.866364,2.323353,"Place de la Concorde, Quartier des Champs-Élysées, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",4.4,EUR,Español
38,Tour panorámico en el autobús sostenible Tootbus,En este tour panorámico por París en el autobús sostenible Tootbus recorreréis la ciudad en un vehículo ecológico. Podréis subir y bajar en cualquier parada.,www.civitatis.com/es/paris/tour-autobus-sostenible-tootbus/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-autobus-sostenible-tootbus-list.jpg,[],[],1 -  3d,0.0,0.0,,13.39,EUR,Español
39,Entrada al Museo Rodin,"Con esta entrada al Museo Rodin de París podréis ver El pensador, El beso y otras icónicas esculturas situadas en el Hôtel Biron y sus preciosos jardines.",www.civitatis.com/es/paris/entrada-museo-rodin/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-museo-rodin-list.jpg,[],[],1h 30m,48.855565,2.315914,"Musée Rodin, 77, Rue de Varenne, Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",4.2,EUR,Entradas
40,Concierto de música clásica en Saint-Germain-des-Prés,"En esta actividad disfrutaréis de la mejor música clásica en un concierto en la iglesia de Saint-Germain-des-Prés, en pleno centro de París. ¡Imprescindible!",www.civitatis.com/es/paris/concierto-saint-germain-pres/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/concierto-saint-germain-pres-list.jpg,['09'],[['20:45']],1h 20m,48.854089,2.333704,"Église Saint-Germain des Prés, 3, Place Saint-Germain des Prés, Quartier de Saint-Germain-des-Prés, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France",6.0,EUR,Espectáculos
41,Tour por el cementerio Père Lachaise,"El tour por el cementerio Père Lachaise, lugar de descanso de personajes como Oscar Wilde o Edith Piaf, os mostrará el camposanto más visitado del mundo.",www.civitatis.com/es/paris/tour-cementerio-pere-lachaise/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-cementerio-pere-lachaise-list.jpg,"['10', '09', '11']","[['13:00'], ['13:00'], ['13:00']]",2 horas,48.8584906,2.3899716,"Boulevard de Charonne, Quartier du Père-Lachaise, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",4.5,EUR,Español
42,¿Escala en París? Tour privado desde el aeropuerto,¿Hacéis escala en París y queréis visitar la ciudad? En esta actividad desde el aeropuerto aprovecharéis para conocer la capital francesa en un tour privado.,www.civitatis.com/es/paris/tour-escala-paris/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-escala-paris-list.jpg,"['11', '12', '10', '09']","[[], [], [], []]",2 -5h,0.0,0.0,,66.0,EUR,Español
